"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2023","Citywide","1","0","-","-","New York City","New York City","6.7","8.8","6.1"
"2023","Borough","3","1","3","Manhattan","Manhattan","Manhattan","7.3","9.3","7.2"
"2023","Borough","1","1","1","Bronx","Bronx","Bronx","6.9","9.3","6.6"
"2023","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","6.7","8.8","6.3"
"2023","Borough","4","1","4","Queens","Queens","Queens","6.6","8.8","6.1"
"2023","Borough","5","1","5","Staten Island","Staten Island","Staten Island","6.2","8.4","5.5"
"2022","Citywide","1","0","-","-","New York City","New York City","5.8","6.4","6.8"
"2022","Borough","3","1","3","Manhattan","Manhattan","Manhattan","7.0","7.5","7.9"
"2022","Borough","1","1","1","Bronx","Bronx","Bronx","6.1","7.1","7.3"
"2022","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","5.8","6.3","6.9"
"2022","Borough","4","1","4","Queens","Queens","Queens","5.7","6.4","6.7"
"2022","Borough","5","1","5","Staten Island","Staten Island","Staten Island","5.2","5.8","6.1"
"2021","Citywide","1","0","-","-","New York City","New York City","6.5","8.3","6.7"
"2021","Borough","3","1","3","Manhattan","Manhattan","Manhattan","7.4","9.4","7.5"
"2021","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","6.6","8.5","6.9"
"2021","Borough","4","1","4","Queens","Queens","Queens","6.5","8.1","6.7"
"2021","Borough","1","1","1","Bronx","Bronx","Bronx","6.6","8.6","6.6"
"2021","Borough","5","1","5","Staten Island","Staten Island","Staten Island","6.2","7.9","6.5"
"2020","Citywide","1","0","-","-","New York City","New York City","6.1","7.0","7.4"
"2020","Borough","3","1","3","Manhattan","Manhattan","Manhattan","7.2","7.8","9.1"
"2020","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","6.1","6.9","7.6"
"2020","Borough","4","1","4","Queens","Queens","Queens","6.1","6.9","7.6"
"2020","Borough","1","1","1","Bronx","Bronx","Bronx","6.1","7.2","7.0"
"2020","Borough","5","1","5","Staten Island","Staten Island","Staten Island","5.5","6.6","6.7"
"2019","Citywide","1","0","-","-","New York City","New York City","6.6","7.9","7.2"
"2019","Borough","3","1","3","Manhattan","Manhattan","Manhattan","8.3","9.4","9.3"
"2019","Borough","1","1","1","Bronx","Bronx","Bronx","6.9","8.0","7.5"
"2019","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","6.7","8.2","7.3"
"2019","Borough","4","1","4","Queens","Queens","Queens","6.5","7.7","7.1"
"2019","Borough","5","1","5","Staten Island","Staten Island","Staten Island","5.9","7.4","6.5"
"2018","Citywide","1","0","-","-","New York City","New York City","7.0","8.3","8.2"
"2018","Borough","3","1","3","Manhattan","Manhattan","Manhattan","8.5","9.7","9.6"
"2018","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","7.2","8.4","8.5"
"2018","Borough","1","1","1","Bronx","Bronx","Bronx","7.2","8.6","8.3"
"2018","Borough","4","1","4","Queens","Queens","Queens","6.8","8.3","7.9"
"2018","Borough","5","1","5","Staten Island","Staten Island","Staten Island","6.4","7.5","7.8"
"2017","Citywide","1","0","-","-","New York City","New York City","7.4","8.9","7.9"
"2017","Borough","3","1","3","Manhattan","Manhattan","Manhattan","8.7","10.4","9.0"
"2017","Borough","1","1","1","Bronx","Bronx","Bronx","7.7","9.6","8.3"
